Time,Longitude,Latitude,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Timing_Advance,NR_UE_Pathloss_DL_0,NR_UE_Throughput_PDCP_DL,App_Throughput_DL,NR_UE_NACK_Rate_DL_0,NR_UE_Ack_As_Nack_DL_0,NR_UE_BLER_DL_0,NR_UE_RB_Num_DL_0,NR_UE_Power_Tx_PUSCH_0,NR_UE_Power_Tx_PRACH_0,NR_UE_NACK_Rate_UL_0,NR_UE_RACH_Attempt,NR_UE_RACH_OK,NR_UE_RACH_Fail,NR_UE_RRCConnectionAttempt,NR_UE_RRCConnectionSetupOk,NR_UE_RRCConnectionComplete,NR_UE_RRCConnectionDrop,NR_UE_RRCHOAttempt,NR_UE_RRCHOOK,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRP_4,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Nbr_RSRQ_4,Technology_Mode,NR_UE_RRCReEstAttempt,NR_UE_RRCReEstFail,NR_UE_PCI_0_3.0,NR_UE_PCI_0_13.0,NR_UE_PCI_0_23.0,NR_UE_PCI_0_30.0,NR_UE_PCI_0_38.0,NR_UE_PCI_0_40.0,NR_UE_PCI_0_48.0,NR_UE_PCI_0_59.0,NR_UE_PCI_0_68.0,NR_UE_PCI_0_76.0,NR_UE_PCI_0_278.0,NR_UE_Nbr_PCI_0_3.0,NR_UE_Nbr_PCI_0_13.0,NR_UE_Nbr_PCI_0_23.0,NR_UE_Nbr_PCI_0_30.0,NR_UE_Nbr_PCI_0_38.0,NR_UE_Nbr_PCI_0_40.0,NR_UE_Nbr_PCI_0_48.0,NR_UE_Nbr_PCI_0_59.0,NR_UE_Nbr_PCI_0_68.0,NR_UE_Nbr_PCI_0_76.0,NR_UE_Nbr_PCI_0_278.0,NR_UE_Nbr_PCI_1_13.0,NR_UE_Nbr_PCI_1_23.0,NR_UE_Nbr_PCI_1_30.0,NR_UE_Nbr_PCI_1_38.0,NR_UE_Nbr_PCI_1_40.0,NR_UE_Nbr_PCI_1_48.0,NR_UE_Nbr_PCI_1_59.0,NR_UE_Nbr_PCI_1_68.0,NR_UE_Nbr_PCI_1_76.0,NR_UE_Nbr_PCI_1_278.0,NR_UE_Nbr_PCI_2_23.0,NR_UE_Nbr_PCI_2_30.0,NR_UE_Nbr_PCI_2_40.0,NR_UE_Nbr_PCI_2_59.0,NR_UE_Nbr_PCI_2_68.0,NR_UE_Nbr_PCI_2_76.0,NR_UE_Nbr_PCI_2_278.0,NR_UE_Nbr_PCI_3_59.0,NR_UE_Nbr_PCI_3_68.0,NR_UE_Nbr_PCI_3_76.0,NR_UE_Nbr_PCI_4_76.0,NR_RRC_MsgType_ BCCH-BCH MIB,NR_RRC_MsgType_ BCCH-DL_SCH SIB1,NR_RRC_MsgType_ BCCH-DL_SCH SIB2,NR_RRC_MsgType_ DL-CCCH RRCSetup,NR_RRC_MsgType_ DL-DCCH DLInformationTransfer,NR_RRC_MsgType_ DL-DCCH RRCReconfiguration,NR_RRC_MsgType_ DL-DCCH RRCRelease,NR_RRC_MsgType_ DL-DCCH SecurityModeCommand,NR_RRC_MsgType_ DL-DCCH UECapabilityEnquiry,NR_RRC_MsgType_ UL-CCCH RRCReestablishmentRequest,NR_RRC_MsgType_ UL-CCCH RRCSetupRequest,NR_RRC_MsgType_ UL-DCCH MeasurementReport,NR_RRC_MsgType_ UL-DCCH RRCReconfigurationComplete,NR_RRC_MsgType_ UL-DCCH RRCSetupComplete,NR_RRC_MsgType_ UL-DCCH SecurityModeComplete,NR_RRC_MsgType_ UL-DCCH UECapabilityInformation,NR_RRC_MsgType_ UL-DCCH ULInformationTransfer,NR_UE_MCS_DL_0_0 (QPSK),NR_UE_MCS_DL_0_1 (QPSK),NR_UE_MCS_DL_0_10 (16QAM OR 64QAM / Low SE -QPSK),NR_UE_MCS_DL_0_11 (16QAM OR 64QAM / Low SE -QPSK),NR_UE_MCS_DL_0_12 (16QAM OR 64QAM / Low SE -QPSK),NR_UE_MCS_DL_0_13 (16QAM OR 64QAM / Low SE -QPSK),NR_UE_MCS_DL_0_14 (16QAM OR 64QAM / Low SE -QPSK),NR_UE_MCS_DL_0_15 (16QAM OR 64QAM OR 256QAM / Low SE -16QAM),NR_UE_MCS_DL_0_16 (16QAM OR 64QAM OR 256QAM / Low SE -16QAM),NR_UE_MCS_DL_0_17 (64QAM OR 256QAM / Low SE -16QAM),NR_UE_MCS_DL_0_18 (64QAM OR 256QAM / Low SE -16QAM),NR_UE_MCS_DL_0_19 (64QAM OR 256QAM / Low SE -16QAM),NR_UE_MCS_DL_0_2 (QPSK),NR_UE_MCS_DL_0_20 (64QAM OR 256QAM / Low SE -16QAM),NR_UE_MCS_DL_0_21 (64QAM OR 256QAM / Low SE -16QAM),NR_UE_MCS_DL_0_22 (64QAM OR 256QAM / Low SE -16QAM),NR_UE_MCS_DL_0_23 (64QAM OR 256QAM OR 1024 QAM / Low SE -64QAM),NR_UE_MCS_DL_0_24 (64QAM OR 256QAM OR 1024 QAM / Low SE -64QAM),NR_UE_MCS_DL_0_25 (64QAM OR 256QAM OR 1024 QAM / Low SE -64QAM),NR_UE_MCS_DL_0_26 (64QAM OR 256QAM OR 1024 QAM / Low SE -64QAM),NR_UE_MCS_DL_0_27 (64QAM OR 256QAM / Low SE -64QAM),NR_UE_MCS_DL_0_28 (64QAM / Low SE -64QAM),NR_UE_MCS_DL_0_3 (QPSK OR 16QAM / Low SE -QPSK),NR_UE_MCS_DL_0_4 (QPSK OR 16QAM / Low SE -QPSK),NR_UE_MCS_DL_0_5 (QPSK OR 16QAM / Low SE -QPSK),NR_UE_MCS_DL_0_6 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),NR_UE_MCS_DL_0_7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),NR_UE_MCS_DL_0_8 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),NR_UE_MCS_DL_0_9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),NR_UE_RI_DL_0_Rank1,NR_UE_RI_DL_0_Rank2,NR_UE_RI_DL_0_Rank3,NR_UE_RI_DL_0_Rank4,NR_UE_CCE_AggregationLev_0_LEVEL_1,NR_UE_CCE_AggregationLev_0_LEVEL_16,NR_UE_CCE_AggregationLev_0_LEVEL_2,NR_UE_CCE_AggregationLev_0_LEVEL_4,NR_UE_CCE_AggregationLev_0_LEVEL_8,Message,Technology_Mode
2025-03-14 12:14:56,29.02862,41.10676,-83.87631578947368,-13.342105263157894,2.6973684210526323,3.9903513112320637,102.13725490196079,58242.36968656998,93836.45515501824,14.08421052631579,0.36842105263157887,14.08421052631579,119.71052631578948,17.5,-14.038594755071745,0.5284313725490196,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,-81.59473684210526,-87.14299461123942,-99.1,-120.6,-116.8,-13.626315789473683,-12.884324480369514,-20.3,-19.1,-15.8,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,1740,5GSA
2025-03-14 12:14:57,29.02858,41.10673,-78.1904239766082,-11.31578947368421,8.944152046783627,3.9398812469074715,97.23869825708061,95187.79488214372,93848.24837539799,10.614097111465533,1.375332270069112,10.614097111465533,74.15266702108808,17.5,-14.240475012370114,0.3397058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.71191520467836,-87.19272517321015,-99.1,-120.6,-116.8,-17.18347953216374,-12.925548498845265,-20.3,-19.1,-15.8,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,1794,5GSA
2025-03-14 12:14:58,29.028506962025318,41.10667696202531,-74.69655982033483,-10.788975091874235,11.785953450387913,3.8411677387431964,92.33277868517763,94706.28454623585,92839.68595316957,9.317186977987305,2.29125060321467,9.317186977987305,70.81376443075095,17.5,-14.635329045027214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.53500408329931,-87.2899923017706,-99.1,-120.6,-116.79999999999998,-18.38368721927317,-13.006177829099308,-20.3,-19.1,-15.8,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,1873,5GSA
2025-03-14 12:14:59,29.02844661971831,41.10662746478874,-80.36265333939119,-12.323852794184461,5.740095411176737,3.7298367144977735,95.6735044676662,95710.89112706375,92694.11377189975,8.362267151294866,0.2726033621081327,8.362267151294866,73.1851431167651,17.5,-15.080653142008906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.28239436619718,-87.3996920708237,-99.1,-120.60000000000001,-116.79999999999998,-14.401272149023171,-13.097113163972287,-20.3,-19.1,-15.799999999999999,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,1944,5GSA
2025-03-14 12:15:00,29.028380821917803,41.106570821917806,-78.95191182968989,-12.74747472121858,6.5940526630448915,3.622958931222167,95.18012225659155,95588.97392812754,92675.12015801086,6.68391515687141,0.0,6.68391515687141,65.02262143512695,17.5,-15.508164275111332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.59586181799277,-87.5050038491147,-99.1,-120.6,-116.8,-14.123708767643159,-13.184411085450346,-20.3,-19.1,-15.8,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2017,5GSA
2025-03-14 12:15:01,29.02832746478873,41.10652830985915,-78.26838870032337,-10.930447390223694,11.752343854397733,3.516081147946561,94.78968650613358,95556.64824202849,92139.03378958435,9.587142208087235,0.0,9.587142208087235,61.183465557613665,17.5,-15.935675408213756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.37504075687522,-87.6103156274057,-99.1,-120.60000000000001,-116.79999999999998,-16.80365609215063,-13.271709006928406,-20.3,-19.1,-15.799999999999999,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2088,5GSA
2025-03-14 12:15:02,29.028278378378378,41.10648945945946,-77.84821272885789,-10.994071490845686,11.81364428945074,3.4084611578426522,95.56395417156287,95560.33939746727,92038.69479817923,8.817741935483872,0.0,8.817741935483872,61.156495204882305,17.5,-16.36615536862939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.32707061900611,-87.71635873749038,-99.1,-120.6,-116.79999999999998,-15.427070619006102,-13.359613163972286,-20.3,-19.1,-15.8,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2162,5GSA
2025-03-14 12:15:03,29.02822837837838,41.10645837837838,-81.3518308631212,-11.427120155345962,9.368772291352936,3.298614547253835,97.38655258519388,95753.32887141839,92518.92728253543,9.95620393120393,0.0,9.95620393120393,71.82727669017991,17.5,-16.80554181098466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.41890306729016,-87.82459584295611,-99.1,-120.6,-116.79999999999998,-15.469230007133234,-13.449336027713626,-20.3,-19.1,-15.8,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2236,5GSA
2025-03-14 12:15:04,29.028180895522386,41.106420597014925,-81.38601990049752,-10.915300768882858,12.4936092265943,3.193963384463137,97.99551804928844,95729.7860631274,92722.35964503742,7.589914066033469,0.0,7.589914066033469,74.60900045228404,17.5,-17.224146462147452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.54261420171868,-87.92771362586605,-99.1,-120.6,-116.8,-19.371917684305746,-13.534815242494226,-20.3,-19.1,-15.800000000000002,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2303,5GSA
2025-03-14 12:15:05,29.02813512820513,41.10637512820512,-83.13952991452992,-10.777521367521368,15.073846153846153,3.086343394359228,98.20849731663685,96009.94524168699,92813.28268099182,8.208418803418803,0.0,8.208418803418803,70.95299145299145,17.5,-17.654626422563087,0.0021367521367521344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.72944444444444,-88.03375673595073,-99.1,-120.6,-116.8,-19.900170940170938,-13.622719399538106,-20.3,-19.1,-15.8,5GSA,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2381,5GSA
