,Longitude,Latitude,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRP_4,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Nbr_RSRQ_4,NR_UE_PCI_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_PCI_4,NR_UE_Timing_Advance,NR_UE_Pathloss_DL_0,NR_UE_Throughput_PDCP_DL,App_Throughput_DL,NR_UE_NACK_Rate_DL_0,NR_UE_Ack_As_Nack_DL_0,NR_UE_MCS_DL_0,NR_UE_RB_Num_DL_0,NR_UE_Modulation_Avg_DL_0,NR_UE_RI_DL_0,NR_UE_BLER_DL_0,NR_UE_CCE_AggregationLev_0,NR_UE_Power_Tx_PUSCH_0,NR_UE_Power_Tx_PRACH_0,NR_UE_NACK_Rate_UL_0,NR_UE_RACH_Attempt,NR_UE_RACH_OK,NR_UE_RACH_Fail,NR_UE_RACH_Procedure_Count,NR_UE_RRCReEstAttempt,NR_UE_RRCReEstFail,NR_UE_RRCReEst_EndResult,NR_UE_RRCConnectionAttempt,NR_UE_RRCConnectionSetupOk,NR_UE_RRCConnectionComplete,NR_UE_RRCConnectionDrop,NR_UE_RRCHOAttempt,NR_UE_RRCHOOK,NR_RRC_MsgType,NAS_5GS_MM_MessageType,NAS_5GS_SM_MessageType,x,y
0,29.01534,41.10568,-124.30000000000001,-17.35,-9.1,-125.15,-124.5,,,,-18.05,-17.5,,,,68.0,40.0,76.0,,,,,151.7,21790.72,26372.78,6.9,7.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),124.0,16QAM,Rank1,6.9,LEVEL_16,22.2,,11.0,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433789.9436700363,4575884.2976
1,29.01534,41.10574,-125.0,-18.05,-8.55,-123.3,-123.05,-123.8,,,-16.95,-16.6,-17.3,,,68.0,30.0,40.0,76.0,,,,147.2,25231.36,23868.11,8.9,6.0,10 (16QAM OR 64QAM / Low SE -QPSK),123.0,16QAM,Rank1,8.9,LEVEL_16,22.2,,10.5,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433787.719886888,4575890.976799999
2,29.01534,41.10579,-125.35,-18.75,-10.5,-124.9,-124.15,-122.5,-125.4,,-17.85,-17.549999999999997,-16.1,-18.4,,68.0,13.0,30.0,40.0,76.0,,,147.8,22446.08,32195.62,8.8,8.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),125.0,16QAM,Rank1,8.8,LEVEL_16,22.2,,10.8,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433785.8667322253,4575896.5428
3,29.01534,41.10581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2433785.125469842,4575898.7692
4,29.01534,41.10583,-123.65,-18.1,-9.55,-124.75,-122.6,-121.2,,,-18.9,-16.950000000000003,-15.2,,,68.0,40.0,76.0,76.0,,,,143.3,25803.45,33435.66,6.6,4.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),127.0,16QAM,Rank1,6.6,LEVEL_16,22.2,,9.7,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.3842071616,4575900.9956
5,29.01535,41.10565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2433791.894355211,4575880.958
6,29.01535,41.10584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2433784.852367885,4575902.1088000005
7,29.01535,41.10585,-122.6,-16.799999999999997,-8.2,-124.85,-122.35,-121.5,,,-18.9,-16.3,-15.6,,,68.0,40.0,76.0,76.0,,,,143.1,34916.57,48679.12,17.6,10.0,8 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),159.0,QPSK,Rank2,17.6,LEVEL_16,22.2,,16.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.4817362316,4575903.222
8,29.01536,41.10562,-124.85,-17.6,-7.5,-124.7,-124.9,,,,-17.5,-17.4,,,,68.0,40.0,76.0,,,,,142.6,21647.36,22772.69,7.3,27.0,8 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),116.0,16QAM,Rank1,7.3,LEVEL_16,22.2,,15.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433793.8450404853,4575877.6184
9,29.01536,41.10588,-121.9,-16.35,-7.7,-122.6,-123.3,-122.9,,,-16.450000000000003,-16.5,-16.1,,,68.0,30.0,40.0,76.0,,,,150.7,43704.32,42016.27,18.5,1.0,10 (16QAM OR 64QAM / Low SE -QPSK),171.0,16QAM,Rank2,18.5,LEVEL_16,22.2,,14.1,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.2086324906,4575906.5616
