Latitude,Longitude,Time,Predicted Value,Actual Value
41.10723,29.02949,2025-03-14 12:14:34.030,-191.4,-84.4
41.10723,29.02949,2025-03-14 12:14:34.331,-191.4,-85.1
41.10723,29.02949,2025-03-14 12:14:34.501,-191.4,-86.2
41.10723,29.02949,2025-03-14 12:14:35.021,-191.4,-86.7
41.10723,29.02949,2025-03-14 12:14:35.500,-191.4,-85.8
41.10723,29.02949,2025-03-14 12:14:36.048,-191.4,-86.7
41.10723,29.02949,2025-03-14 12:14:36.499,-191.4,-88.5
41.10723,29.02949,2025-03-14 12:14:37.035,-191.4,-86.2
41.10723,29.02949,2025-03-14 12:14:37.499,-191.4,-87.1
41.10723,29.02949,2025-03-14 12:14:38.012,-191.4,-88.8
41.10723,29.02949,2025-03-14 12:14:38.501,-191.4,-86.0
41.10723,29.02949,2025-03-14 12:14:39.029,-191.4,-89.9
41.10723,29.02949,2025-03-14 12:14:39.499,-191.4,-88.3
41.10723,29.02949,2025-03-14 12:14:40.020,-191.4,-90.4
41.10723,29.02949,2025-03-14 12:14:40.499,-191.4,-87.5
41.10722,29.02947,2025-03-14 12:14:41.013,-191.33,-90.1
41.10722,29.02947,2025-03-14 12:14:41.499,-191.33,-87.8
41.10724,29.02944,2025-03-14 12:14:42.020,-190.93,-90.7
41.10724,29.02944,2025-03-14 12:14:42.500,-190.93,-88.0
41.10725,29.02941,2025-03-14 12:14:43.009,-190.62,-91.9
41.10725,29.02941,2025-03-14 12:14:43.500,-190.62,-91.4
41.10727,29.02938,2025-03-14 12:14:44.008,-190.2,-92.8
41.10727,29.02938,2025-03-14 12:14:44.499,-190.2,-91.2
41.10728,29.02934,2025-03-14 12:14:45.023,-189.79,-91.3
41.10728,29.02934,2025-03-14 12:14:45.501,-189.79,-89.8
41.10727,29.0293,2025-03-14 12:14:46.018,-189.56,-89.0
41.10727,29.0293,2025-03-14 12:14:46.500,-189.56,-88.3
41.10725,29.02925,2025-03-14 12:14:47.021,-189.37,-87.9
41.10725,29.02925,2025-03-14 12:14:47.500,-189.37,-88.4
41.10722,29.02922,2025-03-14 12:14:48.021,-189.44,-87.1
41.10722,29.02922,2025-03-14 12:14:48.499,-189.44,-85.7
41.10718,29.02917,2025-03-14 12:14:49.023,-189.5,-87.4
41.10718,29.02917,2025-03-14 12:14:49.499,-189.5,-86.8
41.10714,29.0291,2025-03-14 12:14:50.020,-189.46,-87.3
41.10714,29.0291,2025-03-14 12:14:50.505,-189.46,-86.9
41.10709,29.02904,2025-03-14 12:14:51.079,-189.65,-87.5
41.10709,29.02904,2025-03-14 12:14:51.499,-189.65,-85.6
41.10703,29.02897,2025-03-14 12:14:52.035,-189.95,-87.5
41.10703,29.02897,2025-03-14 12:14:52.502,-189.95,-88.4
41.10697,29.02888,2025-03-14 12:14:53.024,-190.22,-88.1
41.10697,29.02888,2025-03-14 12:14:53.505,-190.22,-88.3
41.1069,29.0288,2025-03-14 12:14:54.021,-190.73,-89.6
41.1069,29.0288,2025-03-14 12:14:54.500,-190.73,-89.4
41.10684,29.02873,2025-03-14 12:14:55.018,-191.21,-90.0
41.10684,29.02873,2025-03-14 12:14:55.499,-191.21,-83.9
41.10679,29.02866,2025-03-14 12:14:56.016,-191.6,-78.8
41.10679,29.02866,2025-03-14 12:14:56.500,-191.6,-87.6
41.10676,29.02862,2025-03-14 12:14:56.887,-191.85,-88.1
41.10804,29.02808,2025-03-14 12:22:51.526,-141.92,-69.1
41.10802,29.02821,2025-03-14 12:22:52.111,-147.62,-72.2
41.10802,29.02821,2025-03-14 12:22:52.500,-147.62,-70.1
41.10803,29.02833,2025-03-14 12:22:53.114,-156.02,-72.7
41.10803,29.02833,2025-03-14 12:22:53.499,-156.02,-77.5
41.10809,29.02846,2025-03-14 12:22:54.116,-162.94,-79.2
41.10809,29.02846,2025-03-14 12:22:54.499,-162.94,-79.7
41.10807,29.02854,2025-03-14 12:22:55.119,-166.52,-77.5
41.10807,29.02854,2025-03-14 12:22:55.501,-166.52,-79.4
41.10807,29.02864,2025-03-14 12:22:56.123,-170.16,-79.9
41.10807,29.02864,2025-03-14 12:22:56.500,-170.16,-80.2
41.10806,29.02872,2025-03-14 12:22:57.126,-172.62,-81.1
41.10806,29.02872,2025-03-14 12:22:57.500,-172.62,-84.1
41.10805,29.02881,2025-03-14 12:22:58.130,-175.04,-83.2
41.10805,29.02881,2025-03-14 12:22:58.499,-175.04,-80.5
41.10805,29.0289,2025-03-14 12:22:59.135,-177.15,-77.1
41.10805,29.0289,2025-03-14 12:22:59.501,-177.15,-79.5
41.10805,29.02895,2025-03-14 12:23:00.137,-178.22,-76.7
41.10805,29.02895,2025-03-14 12:23:00.500,-178.22,-76.0
41.10803,29.029,2025-03-14 12:23:01.140,-179.27,-76.5
41.10803,29.029,2025-03-14 12:23:01.499,-179.27,-82.7
41.10801,29.02903,2025-03-14 12:23:02.143,-179.89,-83.4
41.10801,29.02903,2025-03-14 12:23:02.499,-179.89,-84.5
41.108,29.02906,2025-03-14 12:23:03.147,-180.47,-84.8
41.108,29.02906,2025-03-14 12:23:03.915,-180.47,-86.7
41.10798,29.02909,2025-03-14 12:23:04.151,-181.07,-87.1
41.10798,29.02909,2025-03-14 12:23:04.500,-181.07,-86.6
41.10795,29.0291,2025-03-14 12:23:05.153,-181.36,-86.8
41.10795,29.0291,2025-03-14 12:23:05.500,-181.36,-86.1
41.1079,29.02911,2025-03-14 12:23:06.155,-181.76,-83.9
41.1079,29.02911,2025-03-14 12:23:06.499,-181.76,-80.6
41.10787,29.0291,2025-03-14 12:23:07.159,-181.78,-83.9
41.10785,29.0291,2025-03-14 12:23:07.919,-181.91,-80.0
41.10783,29.02911,2025-03-14 12:23:08.164,-182.2,-79.1
41.10783,29.02911,2025-03-14 12:23:08.504,-182.2,-81.6
41.1078,29.02911,2025-03-14 12:23:09.165,-182.43,-81.2
41.1078,29.02911,2025-03-14 12:23:09.921,-182.43,-84.1
41.10776,29.02913,2025-03-14 12:23:10.170,-183.04,-85.9
41.10776,29.02913,2025-03-14 12:23:10.551,-183.04,-86.7
41.10771,29.02914,2025-03-14 12:23:11.173,-183.61,-87.9
41.10771,29.02914,2025-03-14 12:23:11.925,-183.61,-87.8
41.10767,29.02914,2025-03-14 12:23:12.173,-183.98,-87.3
41.10767,29.02914,2025-03-14 12:23:12.551,-183.98,-88.8
41.10764,29.02914,2025-03-14 12:23:13.178,-184.26,-88.4
41.10762,29.02914,2025-03-14 12:23:13.574,-184.46,-89.7
41.10739,29.02911,2025-03-14 12:23:20.566,-186.65,-82.8
