Latitude,Longitude,Time,Predicted Value,Actual Value
41.1052,29.02445,2025-03-14 14:28:05.027,-94.56,-91.2
41.1052,29.02445,2025-03-14 14:28:05.500,-94.56,-89.7
41.10519,29.02446,2025-03-14 14:28:06.032,-94.43,-91.7
41.10519,29.02446,2025-03-14 14:28:06.499,-94.43,-90.1
41.10518,29.02447,2025-03-14 14:28:07.019,-94.29,-90.8
41.10518,29.02447,2025-03-14 14:28:07.498,-94.29,-91.6
41.10517,29.02449,2025-03-14 14:28:08.039,-94.1,-91.5
41.10517,29.02449,2025-03-14 14:28:08.503,-94.1,-89.3
41.10516,29.02451,2025-03-14 14:28:09.024,-93.91,-90.2
41.10516,29.02451,2025-03-14 14:28:09.506,-93.91,-89.5
41.10516,29.02452,2025-03-14 14:28:10.028,-93.85,-90.3
41.10516,29.02452,2025-03-14 14:28:10.509,-93.85,-88.6
41.10515,29.02454,2025-03-14 14:28:11.026,-93.65,-86.6
41.10515,29.02454,2025-03-14 14:28:11.512,-93.65,-84.2
41.10514,29.02456,2025-03-14 14:28:12.042,-93.46,-83.5
41.10514,29.02456,2025-03-14 14:28:12.516,-93.46,-81.2
41.10513,29.02457,2025-03-14 14:28:13.031,-93.33,-79.7
41.10513,29.02457,2025-03-14 14:28:13.519,-93.33,-78.8
41.10512,29.02459,2025-03-14 14:28:14.034,-93.14,-76.3
41.10512,29.02459,2025-03-14 14:28:14.522,-93.14,-77.6
41.10511,29.02461,2025-03-14 14:28:15.034,-92.94,-82.5
41.10511,29.02461,2025-03-14 14:28:15.526,-92.94,-84.9
41.10511,29.02463,2025-03-14 14:28:16.026,-92.82,-84.0
41.10511,29.02463,2025-03-14 14:28:16.530,-92.82,-80.7
41.1051,29.02464,2025-03-14 14:28:17.024,-92.69,-83.6
41.1051,29.02464,2025-03-14 14:28:17.533,-92.69,-84.2
41.1051,29.02466,2025-03-14 14:28:18.053,-92.57,-84.5
41.1051,29.02466,2025-03-14 14:28:18.536,-92.57,-82.5
41.1051,29.02468,2025-03-14 14:28:19.042,-92.44,-83.0
41.1051,29.02468,2025-03-14 14:28:19.539,-92.44,-82.7
41.1051,29.0247,2025-03-14 14:28:20.031,-92.32,-87.9
41.1051,29.0247,2025-03-14 14:28:20.543,-92.32,-84.1
41.1051,29.02472,2025-03-14 14:28:21.047,-92.19,-85.6
