Latitude,Longitude,Time,Predicted Value,Actual Value
41.10561,29.02569,2025-03-14 14:31:46.025,-85.91,-96.4
41.10561,29.02569,2025-03-14 14:31:46.735,-85.91,-95.8
41.10562,29.02569,2025-03-14 14:31:47.036,-85.86,-94.6
41.10562,29.02569,2025-03-14 14:31:47.793,-85.86,-95.5
41.10563,29.02568,2025-03-14 14:31:48.286,-85.84,-96.7
41.10563,29.02568,2025-03-14 14:31:48.772,-85.84,-98.1
41.10564,29.02568,2025-03-14 14:31:49.134,-85.8,-94.9
41.10564,29.02568,2025-03-14 14:31:50.002,-85.8,-96.8
41.10566,29.02568,2025-03-14 14:31:50.115,-85.71,-97.6
41.10566,29.02568,2025-03-14 14:31:50.739,-85.71,-98.7
41.10567,29.02567,2025-03-14 14:31:51.418,-85.68,-95.8
41.10568,29.02567,2025-03-14 14:31:52.036,-85.64,-96.9
41.10568,29.02567,2025-03-14 14:31:52.344,-85.64,-99.9
41.10568,29.02567,2025-03-14 14:31:52.741,-85.64,-98.7
41.10569,29.02567,2025-03-14 14:31:53.527,-85.59,-98.9
41.10571,29.02566,2025-03-14 14:31:54.068,-85.53,-97.8
41.10571,29.02566,2025-03-14 14:31:54.530,-85.53,-96.5
41.10572,29.02566,2025-03-14 14:31:55.036,-85.48,-98.3
41.10572,29.02566,2025-03-14 14:31:55.499,-85.48,-97.5
41.10572,29.02566,2025-03-14 14:31:55.761,-85.48,-95.3
41.10573,29.02566,2025-03-14 14:31:56.549,-85.44,-94.4
41.10574,29.02566,2025-03-14 14:31:57.034,-85.39,-93.9
41.10574,29.02566,2025-03-14 14:31:57.538,-85.39,-92.9
41.10575,29.02567,2025-03-14 14:31:58.037,-85.32,-93.3
41.10575,29.02567,2025-03-14 14:31:58.539,-85.32,-93.9
41.10576,29.02568,2025-03-14 14:31:59.039,-85.24,-93.5
41.10576,29.02568,2025-03-14 14:31:59.501,-85.24,-94.3
41.10576,29.02568,2025-03-14 14:32:00.038,-85.24,-94.6
41.10576,29.02568,2025-03-14 14:32:00.501,-85.24,-96.5
41.10577,29.02567,2025-03-14 14:32:01.094,-85.23,-97.1
41.10577,29.02567,2025-03-14 14:32:01.500,-85.23,-97.6
41.10576,29.02567,2025-03-14 14:32:02.029,-85.27,-95.8
41.10576,29.02567,2025-03-14 14:32:02.881,-85.27,-97.2
41.10575,29.02567,2025-03-14 14:32:03.293,-85.32,-96.4
41.10575,29.02567,2025-03-14 14:32:03.293,-85.32,-102.1
41.10575,29.02567,2025-03-14 14:32:03.794,-85.32,-100.7
41.10574,29.02568,2025-03-14 14:32:04.112,-85.34,-96.8
41.10574,29.02568,2025-03-14 14:32:04.752,-85.34,-96.7
41.10574,29.02568,2025-03-14 14:32:05.288,-85.34,-97.1
41.10574,29.02568,2025-03-14 14:32:05.730,-85.34,-96.7
41.10573,29.02568,2025-03-14 14:32:06.156,-85.38,-98.0
41.10573,29.02568,2025-03-14 14:32:06.754,-85.38,-94.9
41.10571,29.02568,2025-03-14 14:32:07.066,-85.48,-99.2
41.10571,29.02568,2025-03-14 14:32:07.840,-85.48,-98.5
41.10571,29.02568,2025-03-14 14:32:08.339,-85.48,-102.4
41.10571,29.02568,2025-03-14 14:32:08.756,-85.48,-98.7
41.1057,29.02568,2025-03-14 14:32:09.203,-85.52,-100.6
41.1057,29.02568,2025-03-14 14:32:09.851,-85.52,-97.9
41.10569,29.02568,2025-03-14 14:32:10.082,-85.57,-98.9
41.10569,29.02568,2025-03-14 14:32:10.758,-85.57,-99.7
41.10567,29.02568,2025-03-14 14:32:11.077,-85.66,-99.8
41.10567,29.02568,2025-03-14 14:32:11.868,-85.66,-100.6
41.10567,29.02568,2025-03-14 14:32:12.342,-85.66,-97.9
41.10567,29.02568,2025-03-14 14:32:12.778,-85.66,-99.2
41.10565,29.02568,2025-03-14 14:32:13.177,-85.75,-95.3
41.10565,29.02568,2025-03-14 14:32:13.632,-85.75,-96.1
41.10565,29.02568,2025-03-14 14:32:14.500,-85.75,-96.4
41.10565,29.02568,2025-03-14 14:32:14.873,-85.75,-98.2
41.10564,29.02568,2025-03-14 14:32:15.362,-85.8,-95.3
41.10564,29.02568,2025-03-14 14:32:15.779,-85.8,-95.8
41.10563,29.02567,2025-03-14 14:32:16.161,-85.87,-93.8
41.10563,29.02567,2025-03-14 14:32:16.763,-85.87,-97.2
41.10562,29.02567,2025-03-14 14:32:17.092,-85.91,-94.6
41.10562,29.02567,2025-03-14 14:32:17.848,-85.91,-98.2
41.10561,29.02567,2025-03-14 14:32:18.097,-85.96,-96.2
41.10561,29.02567,2025-03-14 14:32:18.765,-85.96,-95.0
41.1056,29.02567,2025-03-14 14:32:19.098,-86.01,-95.4
41.1056,29.02567,2025-03-14 14:32:19.499,-86.01,-96.8
41.10559,29.02567,2025-03-14 14:32:20.102,-86.05,-95.6
41.10559,29.02567,2025-03-14 14:32:20.767,-86.05,-94.7
41.10558,29.02567,2025-03-14 14:32:21.103,-86.1,-92.0
41.10558,29.02567,2025-03-14 14:32:21.523,-86.1,-94.9
41.10557,29.02567,2025-03-14 14:32:22.108,-86.14,-99.6
41.10557,29.02567,2025-03-14 14:32:22.772,-86.14,-96.6
41.10557,29.02566,2025-03-14 14:32:23.109,-86.17,-95.5
41.10557,29.02566,2025-03-14 14:32:23.524,-86.17,-95.5
41.10557,29.02566,2025-03-14 14:32:24.500,-86.17,-96.8
41.10556,29.02566,2025-03-14 14:32:25.115,-86.21,-100.2
41.10556,29.02566,2025-03-14 14:32:25.115,-86.21,-103.5
41.10556,29.02566,2025-03-14 14:32:25.735,-86.21,-102.3
41.10653,29.0265,2025-03-14 14:35:29.500,-78.23,-93.5
41.10654,29.02651,2025-03-14 14:35:30.109,-78.12,-92.8
41.10654,29.02651,2025-03-14 14:35:30.503,-78.12,-92.3
41.10656,29.02651,2025-03-14 14:35:31.043,-77.98,-91.8
41.10656,29.02651,2025-03-14 14:35:31.499,-77.98,-89.1
41.10657,29.02652,2025-03-14 14:35:32.035,-77.87,-89.8
41.10657,29.02652,2025-03-14 14:35:32.500,-77.87,-91.1
41.10658,29.02653,2025-03-14 14:35:33.021,-77.75,-91.3
41.10658,29.02653,2025-03-14 14:35:33.647,-77.75,-91.0
41.10659,29.02654,2025-03-14 14:35:34.137,-77.64,-91.8
41.10659,29.02654,2025-03-14 14:35:34.607,-77.64,-91.3
41.1066,29.02654,2025-03-14 14:35:35.089,-77.57,-91.9
41.1066,29.02654,2025-03-14 14:35:35.576,-77.57,-93.3
41.10661,29.02654,2025-03-14 14:35:36.170,-77.5,-92.5
41.10661,29.02654,2025-03-14 14:35:36.689,-77.5,-94.3
41.10663,29.02654,2025-03-14 14:35:37.134,-77.36,-91.6
41.10663,29.02654,2025-03-14 14:35:37.624,-77.36,-92.0
41.10664,29.02654,2025-03-14 14:35:38.188,-77.29,-93.8
41.10664,29.02654,2025-03-14 14:35:38.615,-77.29,-93.5
41.10665,29.02653,2025-03-14 14:35:39.100,-77.26,-93.8
41.10665,29.02653,2025-03-14 14:35:39.510,-77.26,-93.8
41.10666,29.02652,2025-03-14 14:35:40.100,-77.23,-91.7
41.10666,29.02652,2025-03-14 14:35:40.729,-77.23,-94.4
41.10667,29.02652,2025-03-14 14:35:41.104,-77.16,-92.5
41.10667,29.02652,2025-03-14 14:35:41.588,-77.16,-93.4
41.10668,29.02652,2025-03-14 14:35:42.107,-77.09,-92.6
41.10668,29.02652,2025-03-14 14:35:42.499,-77.09,-92.7
41.10669,29.02651,2025-03-14 14:35:43.109,-77.07,-93.2
41.10669,29.02651,2025-03-14 14:35:43.499,-77.07,-90.2
41.1067,29.02651,2025-03-14 14:35:44.111,-77.0,-93.1
41.1067,29.02651,2025-03-14 14:35:44.735,-77.0,-92.1
41.10672,29.0265,2025-03-14 14:35:45.113,-76.91,-92.3
41.10672,29.0265,2025-03-14 14:35:45.666,-76.91,-89.9
41.10673,29.02649,2025-03-14 14:35:46.116,-76.89,-92.6
41.10673,29.02649,2025-03-14 14:35:46.521,-76.89,-91.8
41.10674,29.02649,2025-03-14 14:35:47.119,-76.82,-91.4
41.10674,29.02649,2025-03-14 14:35:47.501,-76.82,-90.1
41.10675,29.02648,2025-03-14 14:35:48.120,-76.81,-90.6
41.10675,29.02648,2025-03-14 14:35:48.797,-76.81,-86.7
41.10676,29.02647,2025-03-14 14:35:49.154,-76.79,-89.4
41.10676,29.02647,2025-03-14 14:35:49.543,-76.79,-85.6
41.10677,29.02647,2025-03-14 14:35:50.125,-76.72,-90.7
41.10677,29.02647,2025-03-14 14:35:50.499,-76.72,-88.7
41.10678,29.02646,2025-03-14 14:35:51.131,-76.71,-89.3
41.10678,29.02646,2025-03-14 14:35:51.499,-76.71,-90.6
41.10679,29.02645,2025-03-14 14:35:52.261,-76.69,-91.2
41.10679,29.02645,2025-03-14 14:35:52.755,-76.69,-88.6
41.10679,29.02643,2025-03-14 14:35:53.223,-76.8,-90.7
41.10679,29.02643,2025-03-14 14:35:53.593,-76.8,-90.8
41.10679,29.02642,2025-03-14 14:35:54.145,-76.85,-89.8
41.10679,29.02642,2025-03-14 14:35:54.568,-76.85,-92.4
41.10679,29.02641,2025-03-14 14:35:55.147,-76.9,-91.1
41.10679,29.02641,2025-03-14 14:35:55.500,-76.9,-90.6
41.10679,29.0264,2025-03-14 14:35:56.149,-76.96,-91.8
41.10679,29.0264,2025-03-14 14:35:56.845,-76.96,-91.5
41.10679,29.02638,2025-03-14 14:35:57.241,-77.06,-93.3
41.10679,29.02638,2025-03-14 14:35:57.634,-77.06,-94.7
41.10679,29.02637,2025-03-14 14:35:58.154,-77.12,-92.7
41.10679,29.02637,2025-03-14 14:35:58.603,-77.12,-95.3
41.10679,29.02635,2025-03-14 14:35:59.155,-77.22,-95.3
41.10679,29.02635,2025-03-14 14:35:59.555,-77.22,-93.5
41.10678,29.02634,2025-03-14 14:36:00.319,-77.34,-94.6
41.10678,29.02634,2025-03-14 14:36:00.812,-77.34,-93.7
41.10677,29.02632,2025-03-14 14:36:01.267,-77.5,-93.9
41.10677,29.02632,2025-03-14 14:36:01.728,-77.5,-94.1
41.10677,29.0263,2025-03-14 14:36:02.162,-77.61,-92.7
41.10677,29.0263,2025-03-14 14:36:02.594,-77.61,-92.3
41.10677,29.02628,2025-03-14 14:36:03.162,-77.71,-92.8
41.10677,29.02628,2025-03-14 14:36:03.928,-77.71,-92.1
41.10677,29.02626,2025-03-14 14:36:04.401,-77.82,-93.5
41.10677,29.02626,2025-03-14 14:36:04.868,-77.82,-94.4
41.10676,29.02624,2025-03-14 14:36:05.341,-77.98,-95.3
41.10676,29.02624,2025-03-14 14:36:05.780,-77.98,-94.5
41.10677,29.02622,2025-03-14 14:36:06.267,-78.03,-92.6
41.10677,29.02622,2025-03-14 14:36:06.637,-78.03,-93.5
41.10676,29.0262,2025-03-14 14:36:07.172,-78.19,-95.5
41.10676,29.0262,2025-03-14 14:36:07.533,-78.19,-94.4
41.10676,29.02619,2025-03-14 14:36:08.377,-78.24,-94.5
41.10676,29.02619,2025-03-14 14:36:08.784,-78.24,-97.3
41.10676,29.02617,2025-03-14 14:36:09.260,-78.35,-96.2
41.10676,29.02617,2025-03-14 14:36:10.000,-78.35,-95.5
41.10683,29.02606,2025-03-14 14:36:38.469,-78.58,-109.7
41.10683,29.02607,2025-03-14 14:36:39.046,-78.53,-108.7
41.10683,29.02607,2025-03-14 14:36:39.500,-78.53,-112.2
41.10683,29.02607,2025-03-14 14:36:39.723,-78.53,-106.8
41.10683,29.02608,2025-03-14 14:36:40.621,-78.47,-108.9
41.10683,29.02608,2025-03-14 14:36:41.047,-78.47,-110.5
41.10683,29.02608,2025-03-14 14:36:41.499,-78.47,-107.7
41.10682,29.02609,2025-03-14 14:36:42.042,-78.47,-106.8
41.10682,29.02609,2025-03-14 14:36:42.573,-78.47,-108.1
41.10681,29.02609,2025-03-14 14:36:43.072,-78.52,-105.1
41.10681,29.02609,2025-03-14 14:36:43.892,-78.52,-104.9
41.10681,29.02609,2025-03-14 14:36:44.212,-78.52,-106.3
41.10681,29.02609,2025-03-14 14:36:44.613,-78.52,-103.3
41.10681,29.02609,2025-03-14 14:36:45.501,-78.52,-104.1
41.10681,29.02609,2025-03-14 14:36:45.737,-78.52,-102.9
41.10681,29.02609,2025-03-14 14:36:46.501,-78.52,-100.7
41.10681,29.02609,2025-03-14 14:36:46.578,-78.52,-103.0
41.10681,29.02609,2025-03-14 14:36:47.499,-78.52,-104.8
41.10681,29.02609,2025-03-14 14:36:47.900,-78.52,-103.0
41.10681,29.02609,2025-03-14 14:36:48.502,-78.52,-104.2
41.10681,29.02609,2025-03-14 14:36:48.808,-78.52,-102.5
41.10681,29.02609,2025-03-14 14:36:49.190,-78.52,-102.4
41.10681,29.02609,2025-03-14 14:36:49.656,-78.52,-105.0
41.10682,29.0261,2025-03-14 14:36:50.501,-78.41,-103.8
41.10682,29.0261,2025-03-14 14:36:51.001,-78.41,-102.1
41.10681,29.02611,2025-03-14 14:36:51.354,-78.41,-102.9
41.10681,29.02611,2025-03-14 14:36:52.001,-78.41,-101.1
41.10682,29.02611,2025-03-14 14:36:52.137,-78.36,-100.5
41.10682,29.02611,2025-03-14 14:36:53.000,-78.36,-102.8
41.10681,29.02611,2025-03-14 14:36:53.501,-78.41,-103.5
41.10681,29.02611,2025-03-14 14:36:53.822,-78.41,-103.4
41.10681,29.0261,2025-03-14 14:36:54.303,-78.46,-103.3
41.1068,29.0261,2025-03-14 14:36:55.064,-78.51,-104.3
41.1068,29.0261,2025-03-14 14:36:55.415,-78.51,-101.2
41.1068,29.0261,2025-03-14 14:36:55.916,-78.51,-101.7
41.1068,29.0261,2025-03-14 14:36:56.499,-78.51,-99.4
41.1068,29.02608,2025-03-14 14:36:57.065,-78.62,-98.2
41.1068,29.02608,2025-03-14 14:36:57.501,-78.62,-99.6
41.1068,29.02608,2025-03-14 14:36:57.625,-78.62,-96.3
41.1068,29.02607,2025-03-14 14:36:58.500,-78.67,-99.2
41.10681,29.02606,2025-03-14 14:36:59.067,-78.68,-100.0
41.10681,29.02606,2025-03-14 14:36:59.916,-78.68,-101.6
41.10681,29.02606,2025-03-14 14:37:00.019,-78.68,-98.1
41.10681,29.02606,2025-03-14 14:37:00.505,-78.68,-98.0
41.10681,29.02605,2025-03-14 14:37:01.192,-78.73,-98.1
41.10681,29.02605,2025-03-14 14:37:01.601,-78.73,-96.4
41.10681,29.02605,2025-03-14 14:37:02.072,-78.73,-98.0
41.10681,29.02605,2025-03-14 14:37:02.824,-78.73,-96.5
41.10682,29.02605,2025-03-14 14:37:03.195,-78.69,-94.8
41.10682,29.02605,2025-03-14 14:37:03.598,-78.69,-95.2
41.10682,29.02606,2025-03-14 14:37:04.078,-78.63,-92.8
41.10682,29.02606,2025-03-14 14:37:04.512,-78.63,-93.3
41.10682,29.02606,2025-03-14 14:37:05.080,-78.63,-94.2
41.10682,29.02606,2025-03-14 14:37:05.500,-78.63,-95.7
41.10682,29.02606,2025-03-14 14:37:06.082,-78.63,-94.6
41.10682,29.02606,2025-03-14 14:37:06.500,-78.63,-91.6
41.10682,29.02607,2025-03-14 14:37:07.083,-78.58,-93.6
41.10682,29.02607,2025-03-14 14:37:07.795,-78.58,-93.7
41.10683,29.02609,2025-03-14 14:37:08.239,-78.42,-93.8
41.10683,29.02609,2025-03-14 14:37:08.657,-78.42,-96.2
41.10683,29.0261,2025-03-14 14:37:09.104,-78.36,-93.7
41.10683,29.0261,2025-03-14 14:37:09.535,-78.36,-94.7
41.10683,29.02612,2025-03-14 14:37:10.091,-78.25,-95.1
41.10683,29.02612,2025-03-14 14:37:10.500,-78.25,-94.9
41.10683,29.02613,2025-03-14 14:37:11.328,-78.2,-94.6
41.10683,29.02613,2025-03-14 14:37:11.819,-78.2,-94.7
41.10684,29.02615,2025-03-14 14:37:12.283,-78.04,-95.0
41.10684,29.02615,2025-03-14 14:37:12.709,-78.04,-93.4
41.10684,29.02617,2025-03-14 14:37:13.188,-77.92,-95.4
41.10684,29.02617,2025-03-14 14:37:13.666,-77.92,-95.2
41.10684,29.02619,2025-03-14 14:37:14.101,-77.81,-93.5
41.10684,29.02619,2025-03-14 14:37:14.522,-77.81,-91.5
41.10684,29.02621,2025-03-14 14:37:15.398,-77.7,-91.0
41.10684,29.02621,2025-03-14 14:37:15.900,-77.7,-91.4
41.10684,29.02622,2025-03-14 14:37:16.364,-77.65,-91.6
41.10684,29.02622,2025-03-14 14:37:16.824,-77.65,-89.7
41.10685,29.02623,2025-03-14 14:37:17.304,-77.54,-87.1
41.10685,29.02623,2025-03-14 14:37:17.740,-77.54,-85.6
41.10686,29.02624,2025-03-14 14:37:18.173,-77.43,-82.8
41.10686,29.02624,2025-03-14 14:37:18.627,-77.43,-87.1
41.10686,29.02625,2025-03-14 14:37:19.457,-77.37,-88.8
41.10686,29.02625,2025-03-14 14:37:20.000,-77.37,-91.3
